,0
RP11-34P13.8,0.0
AL627309.1,0.0
RP11-206L10.2,0.30655903
LINC00115,0.0
FAM41C,0.0
NOC2L,0.18923683
C1orf170,0.0
HES4,0.0
RP11-54O7.18,0.0
C1orf159,1.6672978
TNFRSF18,0.007036285
TNFRSF4,0.066760294
SDF4,0.3006746
FAM132A,0.04592247
UBE2J2,0.8913664
ACAP3,1e-08
CPSF3L,0.32675457
DVL1,1e-08
MXRA8,0.0
AURKAIP1,0.11860073
CCNL2,0.49565974
MRPL20,0.31190658
SSU72,0.19939916
C1orf233,0.0
RP11-345P4.9,0.0
CDK11B,1.0628296
SLC35E2B,1.5328563
CDK11A,0.82910895
SLC35E2,2.1586308
NADK,0.9414252
GNB1,2.515789
RP5-892K4.1,0.0
RP11-181G12.2,0.0
C1orf86,0.58625317
MORN1,0.15977699
PEX10,0.07749165
PANK4,0.02049811
MMEL1,1e-08
TTC34,0.14891139
MEGF6,0.15672171
RP11-46F15.2,0.14957926
WRAP73,0.33215007
TP73-AS1,0.0
LRRC47,0.27652267
CEP104,1.075106
C1orf174,0.021118559
NPHP4,0.38238576
AL035406.1,0.0
CHD5,1e-08
RPL22,0.019706191
ICMT,0.051652066
GPR153,0.58877134
ACOT7,0.62711656
TNFRSF25,0.3120173
PLEKHG5,0.12885982
NOL9,1.0140492
KLHL21,0.36475223
DNAJC11,2.093444
RP3-467L1.4,0.33902434
UTS2,0.5282786
TNFRSF9,0.3505774
RERE,2.406433
ENO1,0.06282774
SLC2A7,1e-08
SLC2A5,0.06629036
GPR157,0.26334304
RP3-510D11.1,0.0
C1orf200,1e-08
RP11-558F24.4,2.746114
CLSTN1,0.9250789
CTNNBIP1,0.7684036
LZIC,0.646119
DFFA,0.497395
CASZ1,1.2947608
SRM,0.43970075
EXOSC10,1.811702
MTOR,1.3726044
FBXO2,0.0
MAD2L2,0.16188307
MTHFR,0.5757928
KIAA2013,0.44584504
DHRS3,0.62756836
RP3-467K16.2,0.0
RP3-467K16.4,0.0
CASP9,0.6207204
RP4-680D5.8,0.0
AGMAT,0.57842463
RP4-680D5.9,0.0
RP11-169K16.9,0.3702305
ZBTB17,1.167619
ARHGEF19,0.08755428
C1orf134,0.43042672
RSG1,0.17734225
FBXO42,2.8176758
NBPF1,0.37667197
CROCCP2,1.0634334
RP11-108M9.4,0.37612194
RP11-108M9.6,0.0
ATP13A2,0.54037875
SDHB,0.5247902
PADI2,0.0
RCC2,0.4400596
UBR4,0.8864213
EMC1,0.5941015
AKR7A2,0.097725265
CAPZB,0.4780295
TMCO4,1.4762801
UBXN10-AS1,1e-08
RP4-745E8.2,0.5077082
CAMK2N1,0.0
MUL1,0.4434964
PINK1-AS,0.526361
DDOST,0.9123913
HP1BP3,0.45764536
EIF4G3,4.5757337
ECE1,3.3586206
USP48,1.5486833
HSPG2,0.62190413
RP1-224A6.3,0.0
LUZP1,0.6526363
RP5-1057J7.6,0.03951906
HNRNPR,0.4506171
ZNF436,0.17219049
RP5-1057J7.7,0.0
TCEA3,0.3237168
E2F2,0.0
ID3,0.0
RP5-886K2.3,1.6493285
GALE,0.40245143
HMGCL,1.4420903
FUCA1,0.42659125
CNR2,0.17129016
SRSF10,0.232118
IFNLR1,1.0664299
STPG1,0.47383493
RP4-594I10.3,0.06250486
RUNX3,1.1600426
RP11-84D1.2,0.0
RP4-799D16.1,0.0
SYF2,0.078982204
C1orf63,4.320419
RP1-187B23.1,0.684163
RP1-317E23.3,0.68496203
PAQR7,1e-08
STMN1,0.058793124
PAFAH2,0.5004029
SLC30A2,0.0
UBXN11,0.3725739
AIM1L,0.03784428
ZNF683,0.0
RP3-476K8.3,0.56452197
RP5-968P14.2,0.0
GPN2,0.44754675
GPATCH3,1.0497148
C1orf172,0.10524237
SLC9A1,1.0147154
MAP3K6,0.036470573
WASF2,0.36626974
AHDC1,0.6273841
FGR,0.059431195
RP11-288L9.1,0.0
IFI6,0.35190648
RPA2,2.1004283
EYA3,1.5527374
PTAFR,0.121837206
DNAJC8,0.28512457
RP5-1092A3.4,0.0
SNHG12,0.22412841
TAF12,1.090746
SRSF4,1.6524479
MECR,1.4253664
MATN1,1e-08
LAPTM5,0.07186123
SDC3,0.0
PUM1,1.7267834
SNRNP40,0.24208951
