,0
RP11-34P13.8,0.0
AL627309.1,0.0
RP11-206L10.2,0.495279
LINC00115,0.0
FAM41C,0.0
NOC2L,0.16762698
C1orf170,0.0
HES4,0.0
RP11-54O7.18,0.0
C1orf159,1.1416059
TNFRSF18,0.015910348
TNFRSF4,0.05696692
SDF4,0.3023005
FAM132A,1e-08
UBE2J2,1.6720524
ACAP3,0.08014863
CPSF3L,0.467068
DVL1,0.0
MXRA8,0.0
AURKAIP1,0.11014602
CCNL2,0.58077776
MRPL20,0.3561194
SSU72,0.3130817
C1orf233,0.0
RP11-345P4.9,0.0
CDK11B,1.0635843
SLC35E2B,1.9511319
CDK11A,0.72534335
SLC35E2,2.7630591
NADK,0.45145947
GNB1,2.1391835
RP5-892K4.1,0.0
RP11-181G12.2,1e-08
C1orf86,0.750129
MORN1,0.07993071
PEX10,0.24812178
PANK4,0.15221219
MMEL1,0.0024743055
TTC34,1e-08
MEGF6,0.46135372
RP11-46F15.2,0.528055
WRAP73,0.49023438
TP73-AS1,1e-08
LRRC47,0.18033563
CEP104,0.31119534
C1orf174,0.054712232
NPHP4,0.6040716
AL035406.1,0.0
CHD5,1e-08
RPL22,0.025481507
ICMT,0.10633883
GPR153,1e-08
ACOT7,0.33758277
TNFRSF25,0.4072887
PLEKHG5,0.12152732
NOL9,1.348147
KLHL21,0.5327226
DNAJC11,2.754376
RP3-467L1.4,0.99797887
UTS2,0.7541633
TNFRSF9,0.3536578
RERE,2.6514041
ENO1,0.08271908
SLC2A7,1e-08
SLC2A5,0.0
GPR157,0.6933429
RP3-510D11.1,0.0
C1orf200,0.016119763
RP11-558F24.4,2.0524545
CLSTN1,1.4906594
CTNNBIP1,1e-08
LZIC,1.2233763
DFFA,0.46002156
CASZ1,0.42014727
SRM,0.5961563
EXOSC10,1.4603732
MTOR,1.9165821
FBXO2,1e-08
MAD2L2,0.27654
MTHFR,1.0383734
KIAA2013,0.17166439
DHRS3,0.959115
RP3-467K16.2,0.0
RP3-467K16.4,0.0
CASP9,0.41697842
RP4-680D5.8,0.0
AGMAT,0.9797967
RP4-680D5.9,0.0
RP11-169K16.9,0.34332773
ZBTB17,1.2906101
ARHGEF19,0.30399582
C1orf134,0.6500645
RSG1,0.38569033
FBXO42,2.8935707
NBPF1,0.9906166
CROCCP2,0.7683044
RP11-108M9.4,0.36113906
RP11-108M9.6,0.0
ATP13A2,0.26306146
SDHB,0.38549587
PADI2,0.0
RCC2,0.7077287
UBR4,1.3570343
EMC1,0.5974323
AKR7A2,0.35930246
CAPZB,0.5952349
TMCO4,2.643745
UBXN10-AS1,0.0
RP4-745E8.2,0.07298599
CAMK2N1,0.0
MUL1,0.3703485
PINK1-AS,0.9334641
DDOST,0.90746945
HP1BP3,0.5400092
EIF4G3,3.4213974
ECE1,3.1338065
USP48,1.1324373
HSPG2,1.1730564
RP1-224A6.3,0.0
LUZP1,1.1371303
RP5-1057J7.6,0.024753876
HNRNPR,0.4427347
ZNF436,0.0374301
RP5-1057J7.7,0.0
TCEA3,0.62739474
E2F2,0.0
ID3,0.009801174
RP5-886K2.3,1.9928482
GALE,0.21474512
HMGCL,1.2814109
FUCA1,0.48955494
CNR2,0.0
SRSF10,0.0695936
IFNLR1,0.24422882
STPG1,0.73281693
RP4-594I10.3,1e-08
RUNX3,1.2696551
RP11-84D1.2,0.0
RP4-799D16.1,0.0
SYF2,0.05843503
C1orf63,5.8166833
RP1-187B23.1,1.3886532
RP1-317E23.3,0.021526348
PAQR7,0.03739088
STMN1,0.23575534
PAFAH2,0.7542115
SLC30A2,0.0
UBXN11,0.39725158
AIM1L,0.6165184
ZNF683,1e-08
RP3-476K8.3,0.5396305
RP5-968P14.2,0.0
GPN2,0.91745716
GPATCH3,1.6190318
C1orf172,0.17203458
SLC9A1,1e-08
MAP3K6,0.2527429
WASF2,0.62362885
AHDC1,0.7229131
FGR,0.20283084
RP11-288L9.1,0.0
IFI6,0.3471726
RPA2,1.8750179
EYA3,2.108334
PTAFR,0.78079957
DNAJC8,0.34185776
RP5-1092A3.4,0.0
SNHG12,0.042106763
TAF12,0.6615739
SRSF4,1.5337825
MECR,0.8006145
MATN1,0.0
LAPTM5,0.08740852
SDC3,0.0
PUM1,1.387913
